Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
B_3_23_2	B_3_23_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42800861.0	0.0	36-150	56.0	23.83413949844584	147.5456651444465	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_24_1	B_3_24_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37022790.0	0.0	36-150	55.0	31.5951542172271	147.5004273043712	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_3_24_2	B_3_24_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37022790.0	0.0	36-150	56.0	26.707576885084716	147.7889067517602	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
B_3_25_1	B_3_25_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37754701.0	0.0	36-150	56.0	35.52924430851509	146.92932829742182	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_3_25_2	B_3_25_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37754701.0	0.0	36-150	56.0	29.8761462206871	147.82227349648457	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_26_1	B_3_26_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37412960.0	0.0	36-150	55.0	34.081823461381475	147.34002372439926	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_3_26_2	B_3_26_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37412960.0	0.0	36-150	55.0	28.902948506148547	147.74571314325303	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_27_1	B_3_27_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41786363.0	0.0	36-150	55.0	32.278738302981694	147.17820335308915	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_3_27_2	B_3_27_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41786363.0	0.0	36-150	55.0	26.778239208416938	147.64111978350448	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_28_1	B_3_28_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38516735.0	0.0	36-150	55.0	32.10364267841763	147.43319853045696	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_3_28_2	B_3_28_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38516735.0	0.0	36-150	56.0	26.57154880002836	147.9287114808667	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_29_1	B_3_29_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41742419.0	0.0	36-150	55.0	31.2343140621432	147.0801969813968	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_3_29_2	B_3_29_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41742419.0	0.0	36-150	55.0	25.83297141247779	147.73079617163538	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_30_1	B_3_30_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38280795.0	0.0	36-150	55.0	31.188568688128953	147.45507252396405	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_3_30_2	B_3_30_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38280795.0	0.0	36-150	55.0	26.247013469655645	147.79441897693087	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
B_3_31_1	B_3_31_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41959113.0	0.0	36-150	55.0	36.159917928671135	146.86436169420455	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_3_31_2	B_3_31_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41959113.0	0.0	36-150	56.0	30.604399054971594	147.60227736463352	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_3_32_1	B_3_32_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47404392.0	0.0	36-150	56.0	35.708373948599224	147.25886839767927	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
B_3_32_2	B_3_32_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47404392.0	0.0	36-150	56.0	31.072412010160754	147.71177963847737	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
B_3_33_1	B_3_33_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34899180.0	0.0	36-150	56.0	35.74644274249118	147.10829085382522	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
