Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
B_1_11_2	B_1_11_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42726701.0	0.0	36-150	56.0	25.622140758535654	147.9652466498642	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_12_1	B_1_12_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37347187.0	0.0	36-150	55.0	30.653067553178044	147.73390279701655	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
B_1_12_2	B_1_12_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37347187.0	0.0	36-150	55.0	25.853774360656466	147.96781382758493	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
B_1_13_1	B_1_13_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30041627.0	0.0	36-150	55.0	36.89852854374808	147.57494805457773	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_1_13_2	B_1_13_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30041627.0	0.0	36-150	55.0	32.480960407512555	147.58824337310358	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_14_1	B_1_14_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44106621.0	0.0	36-150	55.0	31.871376534078916	147.363562627026	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_1_14_2	B_1_14_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44106621.0	0.0	36-150	55.0	26.14089460409332	147.85579296586786	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_15_1	B_1_15_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48429649.0	0.0	36-150	55.0	28.39030014181285	147.42961729910536	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_1_15_2	B_1_15_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48429649.0	0.0	36-150	55.0	22.368782314486907	147.93716489665246	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_16_1	B_1_16_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39946137.0	0.0	36-150	55.0	29.74241191520531	147.55800554631853	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
B_1_16_2	B_1_16_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39946137.0	0.0	36-150	55.0	24.765653738208215	147.75858979805733	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_17_1	B_1_17_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40038325.0	0.0	36-150	54.0	28.839420883229906	147.21467076856987	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
B_1_17_2	B_1_17_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40038325.0	0.0	36-150	55.0	23.443231383413224	148.00979224280735	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
B_1_18_1	B_1_18_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32234695.0	0.0	36-150	55.0	30.916591723428372	147.4557410268656	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_1_18_2	B_1_18_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32234695.0	0.0	36-150	55.0	26.058043925215813	147.97651431167566	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
B_1_19_1	B_1_19_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34944219.0	0.0	36-150	55.0	32.616878519610346	147.38284066385916	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_1_19_2	B_1_19_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34944219.0	0.0	36-150	56.0	27.355959521540505	147.83331692146274	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_20_1	B_1_20_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31856928.0	0.0	36-150	55.0	35.260795113871524	147.08051884349928	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_1_20_2	B_1_20_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31856928.0	0.0	36-150	55.0	30.411452935497547	147.46883541313213	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_21_1	B_1_21_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33205462.0	0.0	36-150	55.0	32.33693069284808	147.70687578447183	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_1_21_2	B_1_21_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33205462.0	0.0	36-150	56.0	27.810575700536454	147.3468489310584	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_22_1	B_1_22_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34793591.0	0.0	36-150	55.0	32.35737021148	147.5953814885046	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_1_22_2	B_1_22_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34793591.0	0.0	36-150	55.0	27.47410540612704	147.53370708415812	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_23_1	B_1_23_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32915084.0	0.0	36-150	55.0	33.89396447055664	147.43925204626547	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_1_23_2	B_1_23_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32915084.0	0.0	36-150	56.0	29.09298158359947	147.36941446055553	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_24_1	B_1_24_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32715887.0	0.0	36-150	55.0	31.1529658242776	147.39884497094639	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_1_24_2	B_1_24_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32715887.0	0.0	36-150	56.0	26.111655283353507	147.86376041095875	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_25_1	B_1_25_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39009864.0	0.0	36-150	53.0	33.792207541744936	147.39276091811035	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_1_25_2	B_1_25_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39009864.0	0.0	36-150	54.0	29.605318903517407	147.497710655951	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_26_1	B_1_26_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33735767.0	0.0	36-150	55.0	34.773329436637596	147.4765412032873	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_1_26_2	B_1_26_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33735767.0	0.0	36-150	56.0	29.91711886102093	147.62819686299113	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_27_1	B_1_27_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38202648.0	0.0	36-150	56.0	27.393246526753757	147.29880119828343	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_1_27_2	B_1_27_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38202648.0	0.0	36-150	56.0	22.289000396523296	147.8509388668555	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_28_1	B_1_28_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41418314.0	0.0	36-150	55.0	27.656473150053756	147.59706942682408	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
B_1_28_2	B_1_28_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41418314.0	0.0	36-150	55.0	22.931274606852458	147.57236224052963	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_29_1	B_1_29_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39759264.0	0.0	36-150	55.0	30.0268606483932	147.56138234852637	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_1_29_2	B_1_29_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39759264.0	0.0	36-150	55.0	25.231654719204734	147.9220578881943	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_30_1	B_1_30_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39925795.0	0.0	36-150	55.0	30.836937723174245	147.56874779825924	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_1_30_2	B_1_30_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39925795.0	0.0	36-150	56.0	25.43274128133118	147.86301637825872	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_31_1	B_1_31_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31172932.0	0.0	36-150	56.0	29.021725284703372	145.46297865083721	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass
B_1_31_2	B_1_31_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31172932.0	0.0	36-150	56.0	28.749990129331664	145.33773303711052	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_32_1	B_1_32_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45241795.0	0.0	36-150	55.0	29.36996211508056	146.91190846870686	pass	pass	warn	pass	warn	warn	pass	warn	fail	pass	pass
B_1_32_2	B_1_32_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45241795.0	0.0	36-150	55.0	27.555917324533713	146.96451895863106	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_33_1	B_1_33_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39974690.0	0.0	36-150	55.0	27.695660334988194	146.89670458982923	pass	pass	warn	pass	warn	warn	pass	warn	fail	pass	pass
B_1_33_2	B_1_33_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39974690.0	0.0	36-150	56.0	27.12195750526319	146.4907605787562	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_34_1	B_1_34_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9166904.0	0.0	36-150	55.0	50.79886599489949	146.02223891512335	pass	pass	pass	pass	warn	warn	pass	warn	warn	pass	warn
B_1_34_2	B_1_34_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9166904.0	0.0	36-150	56.0	49.479912668009575	146.33342053107572	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	warn
B_1_35_1	B_1_35_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29845458.0	0.0	36-150	55.0	30.40737196905161	145.8211378093109	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	warn
B_1_35_2	B_1_35_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29845458.0	0.0	36-150	55.0	27.96597347546343	146.5434104579665	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	warn
B_1_36_1	B_1_36_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56792368.0	0.0	36-150	55.0	23.79449441920763	147.18327221361855	pass	pass	warn	pass	warn	warn	pass	warn	fail	pass	pass
B_1_36_2	B_1_36_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56792368.0	0.0	36-150	55.0	22.87370349152536	146.69024228748484	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_38_1	B_1_38_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31481044.0	0.0	36-150	56.0	35.47388950708438	146.42469315820657	pass	pass	warn	pass	warn	warn	pass	warn	fail	pass	pass
B_1_38_2	B_1_38_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31481044.0	0.0	36-150	56.0	33.61874345501653	146.70932355356447	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
B_1_39_1	B_1_39_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32224835.0	0.0	36-150	56.0	30.264418980071266	146.29493569168002	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
B_1_39_2	B_1_39_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32224835.0	0.0	36-150	56.0	32.39506898365132	146.61805064323835	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_3_1	B_1_3_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38983776.0	0.0	36-150	55.0	30.830555356818586	147.36935770408695	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_1_3_2	B_1_3_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38983776.0	0.0	36-150	56.0	25.916211458995825	147.9471112546922	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_40_1	B_1_40_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36861101.0	0.0	36-150	56.0	36.92206267216702	146.2780199104742	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_40_2	B_1_40_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36861101.0	0.0	36-150	56.0	36.5616001330172	145.50088598818576	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_41_1	B_1_41_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40462361.0	0.0	36-150	55.0	35.79107934347615	146.00134848779587	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_41_2	B_1_41_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40462361.0	0.0	36-150	56.0	34.50674363618913	146.15125929008443	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_42_1	B_1_42_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37180005.0	0.0	36-150	55.0	33.87031089060078	145.98954373459605	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	warn
B_1_42_2	B_1_42_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37180005.0	0.0	36-150	55.0	31.696718774752046	146.39044919439897	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	warn
B_1_4_1	B_1_4_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34276051.0	0.0	36-150	55.0	32.975028418792604	147.23018567687393	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_1_4_2	B_1_4_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34276051.0	0.0	36-150	56.0	27.681271822889236	147.73341427225674	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_5_1	B_1_5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45733696.0	0.0	36-150	55.0	30.96919038877023	147.08211448731367	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
B_1_5_2	B_1_5_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45733696.0	0.0	36-150	55.0	24.562722404884667	147.7294473641492	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_6_1	B_1_6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39708430.0	0.0	36-150	55.0	32.20274614978855	147.49790324120093	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_1_6_2	B_1_6_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39708430.0	0.0	36-150	56.0	27.139160074624208	147.5350755746324	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_8_1	B_1_8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35742416.0	0.0	36-150	55.0	24.086313916244436	147.2953019460128	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
B_1_8_2	B_1_8_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35742416.0	0.0	36-150	55.0	19.629012233596196	147.71249310622986	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
B_1_9_1	B_1_9_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41878135.0	0.0	36-150	55.0	31.01475425933374	147.4936289307057	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
B_1_9_2	B_1_9_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41878135.0	0.0	36-150	55.0	25.35569512686857	147.8501518274393	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_10_1	B_2_10_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42878721.0	0.0	36-150	55.0	30.44770553945203	146.6661867083209	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_10_2	B_2_10_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42878721.0	0.0	36-150	55.0	29.380873089905247	146.53842606452744	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_11_1	B_2_11_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31691046.0	0.0	36-150	55.0	32.74200517323848	146.60547878413354	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_11_2	B_2_11_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31691046.0	0.0	36-150	55.0	31.424451104359502	146.51413241456277	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_12_1	B_2_12_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35008640.0	0.0	36-150	55.0	30.3976763318257	147.04460441765232	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
B_2_12_2	B_2_12_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35008640.0	0.0	36-150	55.0	31.91182506441591	144.5613713071973	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
B_2_13_1	B_2_13_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28641369.0	0.0	36-150	56.0	35.049092252158914	145.78258301829078	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_13_2	B_2_13_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28641369.0	0.0	36-150	56.0	33.73806826629795	146.28834204817514	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_14_1	B_2_14_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41107215.0	0.0	36-150	55.0	26.202088700967785	146.51204028295277	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_14_2	B_2_14_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41107215.0	0.0	36-150	56.0	26.261682139485387	146.17460810711697	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_15_1	B_2_15_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34751726.0	0.0	36-150	55.0	31.934534534398633	146.59668029150552	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_15_2	B_2_15_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34751726.0	0.0	36-150	56.0	30.678003876423134	146.37692815602887	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_16_1	B_2_16_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40927389.0	0.0	36-150	55.0	26.613506033952365	146.42515687966315	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
B_2_16_2	B_2_16_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40927389.0	0.0	36-150	55.0	25.70258729777374	146.37238828013193	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
B_2_17_1	B_2_17_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36765276.0	0.0	36-150	54.0	26.72235684267778	146.15243144101515	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
B_2_17_2	B_2_17_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36765276.0	0.0	36-150	54.0	25.349652613332633	146.32216480572592	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
B_2_18_1	B_2_18_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32139056.0	0.0	36-150	55.0	31.175872215331253	146.6114075036927	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
B_2_18_2	B_2_18_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32139056.0	0.0	36-150	55.0	29.646348831195407	146.38288296333283	pass	pass	pass	pass	warn	pass	pass	warn	fail	warn	pass
B_2_19_1	B_2_19_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30637972.0	0.0	36-150	55.0	30.488192198083315	145.82761016297033	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_19_2	B_2_19_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30637972.0	0.0	36-150	55.0	30.27124296448889	145.73887694002724	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_20_1	B_2_20_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29643845.0	0.0	36-150	54.0	35.02682844987876	146.56140048634043	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
B_2_20_2	B_2_20_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29643845.0	0.0	36-150	55.0	34.734220382222446	145.38904356030739	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_21_1	B_2_21_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32200117.0	0.0	36-150	55.0	30.870499984624722	146.58749345538092	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_21_2	B_2_21_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32200117.0	0.0	36-150	55.0	29.730955742781067	146.26772902719577	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_22_1	B_2_22_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34287293.0	0.0	36-150	55.0	29.998574976461363	146.34662695593963	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_22_2	B_2_22_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34287293.0	0.0	36-150	55.0	28.866025292977938	146.4445967198402	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
B_2_23_1	B_2_23_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34823779.0	0.0	36-150	55.0	29.739996955347557	146.56999124075534	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
B_2_23_2	B_2_23_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34823779.0	0.0	36-150	55.0	28.62239499234108	146.59067380366733	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
B_2_24_1	B_2_24_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33205183.0	0.0	36-150	55.0	27.171452946219283	146.78919432547625	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_24_2	B_2_24_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33205183.0	0.0	36-150	56.0	27.31557574175974	146.1827499941801	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
B_2_25_1	B_2_25_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38807743.0	0.0	36-150	56.0	24.618833857862693	145.96737344400574	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_25_2	B_2_25_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38807743.0	0.0	36-150	56.0	24.616910574023738	145.87281525235827	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_26_1	B_2_26_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29723196.0	0.0	36-150	55.0	30.082329374329674	145.8802074985476	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_26_2	B_2_26_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29723196.0	0.0	36-150	55.0	30.333545806391054	145.61173394678016	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_27_1	B_2_27_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29963975.0	0.0	36-150	55.0	31.701369250393412	146.38897759726473	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_27_2	B_2_27_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29963975.0	0.0	36-150	55.0	30.94181183175635	146.30052047500374	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_28_1	B_2_28_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31511652.0	0.0	36-150	55.0	29.811679707558113	146.25331125134284	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_28_2	B_2_28_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31511652.0	0.0	36-150	55.0	28.650270198095445	146.1669861675294	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_29_1	B_2_29_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34982066.0	0.0	36-150	55.0	31.17624434733103	146.6517809153982	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_29_2	B_2_29_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34982066.0	0.0	36-150	55.0	30.32503391555656	146.3951756308504	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_30_1	B_2_30_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38481878.0	0.0	36-150	55.0	28.98074550464119	146.3651178354653	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_30_2	B_2_30_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38481878.0	0.0	36-150	55.0	28.270224103313403	146.30312132895386	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_31_1	B_2_31_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31988361.0	0.0	36-150	56.0	36.08211483165194	146.1470790579111	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_31_2	B_2_31_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31988361.0	0.0	36-150	56.0	36.317427438261404	145.16063576999147	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_32_1	B_2_32_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28722646.0	0.0	36-150	56.0	35.82413607630508	145.38864236254557	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_32_2	B_2_32_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28722646.0	0.0	36-150	56.0	34.13942510287367	145.89608857763312	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_33_1	B_2_33_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34275272.0	0.0	36-150	55.0	35.62958790849349	146.4552643958595	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_33_2	B_2_33_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34275272.0	0.0	36-150	56.0	34.829130817683215	146.33734115953916	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_34_1	B_2_34_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30664525.0	0.0	36-150	55.0	34.92531107028351	146.50576974533277	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_34_2	B_2_34_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30664525.0	0.0	36-150	56.0	34.36149946453651	146.03989551444218	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_2_35_1	B_2_35_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31598370.0	0.0	36-150	55.0	35.156019027122554	146.43765460053794	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
