Sample	Unique Reads	Duplicate Reads
B_2_34_2	10536791.0	20127734.0
B_2_35_1	11108729.0	20489641.0
B_2_35_2	10813183.0	20785187.0
B_2_36_1	9546607.0	22863867.0
B_2_36_2	8940518.0	23469956.0
B_2_38_1	10274250.0	24738572.0
B_2_38_2	10482316.0	24530506.0
B_2_39_1	8336210.0	24810338.0
B_2_39_2	8427158.0	24719390.0
B_2_3_1	11961512.0	22929526.0
B_2_3_2	11630755.0	23260283.0
B_2_40_1	13540025.0	24134127.0
B_2_40_2	13038772.0	24635380.0
B_2_41_1	11403164.0	17578402.0
B_2_41_2	11103429.0	17878137.0
B_2_42_1	13697760.0	25366043.0
B_2_42_2	13066953.0	25996850.0
B_2_4_1	10116030.0	20755671.0
B_2_4_2	9880866.0	20990835.0
B_2_5_1	12312393.0	29074977.0
B_2_5_2	12007533.0	29379837.0
B_2_6_1	12299811.0	27952461.0
B_2_6_2	12063750.0	28188522.0
B_2_8_1	12289768.0	24811245.0
B_2_8_2	11850001.0	25251012.0
B_2_9_1	11665367.0	25147168.0
B_2_9_2	11347682.0	25464853.0
B_3_10_1	10086041.0	23615663.0
B_3_10_2	9661579.0	24040125.0
B_3_11_1	13132716.0	43099970.0
B_3_11_2	12426723.0	43805963.0
B_3_12_1	11566063.0	27542091.0
B_3_12_2	9578669.0	29529485.0
B_3_13_1	13353595.0	29874568.0
B_3_13_2	10729230.0	32498933.0
B_3_14_1	13472704.0	28183351.0
B_3_14_2	11031908.0	30624147.0
B_3_15_1	12196189.0	33365277.0
B_3_15_2	11708211.0	33853255.0
B_3_16_1	12847905.0	27915319.0
B_3_16_2	10539113.0	30224111.0
B_3_17_1	12191478.0	28028887.0
B_3_17_2	9874463.0	30345902.0
B_3_18_1	13852928.0	31481908.0
B_3_18_2	11265144.0	34069692.0
B_3_19_1	13532327.0	26189559.0
B_3_19_2	11425848.0	28296038.0
B_3_20_1	14228555.0	31664358.0
B_3_20_2	11650218.0	34242695.0
B_3_21_1	13491810.0	29661598.0
B_3_21_2	11062895.0	32090513.0
B_3_22_1	12339903.0	28801770.0
B_3_22_2	10327988.0	30813685.0
B_3_23_1	12338903.0	30461958.0
B_3_23_2	10201217.0	32599644.0
B_3_24_1	11697408.0	25325382.0
B_3_24_2	9887891.0	27134899.0
B_3_25_1	13413960.0	24340741.0
B_3_25_2	11279650.0	26475051.0
B_3_26_1	12751019.0	24661941.0
B_3_26_2	10813449.0	26599511.0
B_3_27_1	13488111.0	28298252.0
B_3_27_2	11189653.0	30596710.0
B_3_28_1	12365275.0	26151460.0
B_3_28_2	10234494.0	28282241.0
B_3_29_1	13037959.0	28704460.0
B_3_29_2	10783308.0	30959111.0
B_3_30_1	11939233.0	26341562.0
B_3_30_2	10047566.0	28233229.0
B_3_31_1	15172381.0	26786732.0
B_3_31_2	12841335.0	29117778.0
B_3_32_1	16927338.0	30477054.0
B_3_32_2	14729688.0	32674704.0
B_3_33_1	12475216.0	22423964.0
B_3_33_2	10746170.0	24153010.0
B_3_34_1	13140144.0	25441377.0
B_3_34_2	11055772.0	27525749.0
B_3_35_1	12429943.0	23647031.0
B_3_35_2	10707139.0	25369835.0
B_3_36_1	13392230.0	24454095.0
B_3_36_2	11410561.0	26435764.0
B_3_38_1	12682816.0	19373896.0
B_3_38_2	12422681.0	19634031.0
B_3_39_1	15438622.0	26163449.0
B_3_39_2	13398700.0	28203371.0
B_3_3_1	10768587.0	20178598.0
B_3_3_2	10315343.0	20631842.0
