Sample	Top over-represented sequence	Sum of remaining over-represented sequences
BR_1_13_1	0.0	0.0
BR_1_13_2	0.0	0.0
BR_1_19_1	0.0	0.0
BR_1_19_2	0.0	0.0
BR_1_25_1	0.0	0.0
BR_1_25_2	0.0	0.0
BR_1_31_1	0.0	0.0
BR_1_31_2	0.0	0.0
BR_1_35_1	0.0	0.0
BR_1_35_2	0.0	0.0
BR_1_8_1	0.0	0.0
BR_1_8_2	0.0	0.0
BR_2_13_1	0.0	0.0
BR_2_13_2	0.0	0.0
BR_2_19_1	0.0	0.0
BR_2_19_2	0.0	0.0
BR_2_25_1	0.0	0.0
BR_2_25_2	0.0	0.0
BR_2_8_1	0.0	0.0
BR_2_8_2	0.0	0.0
BR_3_13_1	0.0	0.0
BR_3_13_2	0.0	0.0
BR_3_19_1	0.0	0.0
BR_3_19_2	0.0	0.0
BR_3_25_1	0.0	0.0
BR_3_25_2	0.0	0.0
BR_3_31_1	0.0	0.0
BR_3_31_2	0.0	0.0
BR_3_35_1	0.0	0.0
BR_3_35_2	0.0	0.0
BR_3_8_1	0.0	0.0
BR_3_8_2	0.0	0.0
B_1_10_1	0.0	0.0
B_1_10_2	0.0	0.0
B_1_11_1	0.0	0.0
B_1_11_2	0.0	0.0
B_1_12_1	0.0	0.0
B_1_12_2	0.0	0.0
B_1_13_1	0.0	0.0
B_1_13_2	0.0	0.0
B_1_14_1	0.0	0.0
B_1_14_2	0.0	0.0
B_1_15_1	0.0	0.0
B_1_15_2	0.0	0.0
B_1_16_1	0.0	0.0
B_1_16_2	0.0	0.0
B_1_17_1	0.0	0.0
B_1_17_2	0.0	0.0
B_1_18_1	0.0	0.0
B_1_18_2	0.0	0.0
B_1_19_1	0.0	0.0
B_1_19_2	0.0	0.0
B_1_20_1	0.0	0.0
B_1_20_2	0.0	0.0
B_1_21_1	0.0	0.0
B_1_21_2	0.0	0.0
B_1_22_1	0.0	0.0
B_1_22_2	0.0	0.0
B_1_23_1	0.0	0.0
B_1_23_2	0.0	0.0
B_1_24_1	0.0	0.0
B_1_24_2	0.0	0.0
B_1_25_1	0.0	0.0
B_1_25_2	0.0	0.0
B_1_26_1	0.0	0.0
B_1_26_2	0.0	0.0
B_1_27_1	0.0	0.0
B_1_27_2	0.0	0.0
B_1_28_1	0.0	0.0
B_1_28_2	0.0	0.0
B_1_29_1	0.0	0.0
B_1_29_2	0.0	0.0
B_1_30_1	0.0	0.0
B_1_30_2	0.0	0.0
B_1_31_1	0.14157795615760493	0.0
B_1_31_2	0.0	0.0
B_1_32_1	0.0	0.0
B_1_32_2	0.0	0.0
B_1_33_1	0.0	0.0
B_1_33_2	0.0	0.0
B_1_34_1	0.0	0.0
B_1_34_2	0.0	0.0
B_1_35_1	0.0	0.0
B_1_35_2	0.0	0.0
B_1_36_1	0.0	0.0
B_1_36_2	0.0	0.0
B_1_38_1	0.0	0.0
B_1_38_2	0.1212475672661936	0.0
B_1_39_1	0.0	0.0
B_1_39_2	0.0	0.0
B_1_3_1	0.0	0.0
B_1_3_2	0.0	0.0
B_1_40_1	0.0	0.0
B_1_40_2	0.0	0.0
B_1_41_1	0.0	0.0
B_1_41_2	0.0	0.0
B_1_42_1	0.0	0.0
B_1_42_2	0.0	0.0
B_1_4_1	0.0	0.0
B_1_4_2	0.0	0.0
B_1_5_1	0.0	0.0
B_1_5_2	0.0	0.0
B_1_6_1	0.0	0.0
B_1_6_2	0.0	0.0
B_1_8_1	0.0	0.0
B_1_8_2	0.11409413398355613	0.0
B_1_9_1	0.0	0.0
B_1_9_2	0.0	0.0
B_2_10_1	0.0	0.0
B_2_10_2	0.0	0.0
B_2_11_1	0.0	0.0
B_2_11_2	0.0	0.0
B_2_12_1	0.0	0.0
B_2_12_2	0.0	0.0
B_2_13_1	0.0	0.0
B_2_13_2	0.0	0.0
B_2_14_1	0.0	0.0
B_2_14_2	0.0	0.0
B_2_15_1	0.0	0.0
B_2_15_2	0.0	0.0
B_2_16_1	0.0	0.0
B_2_16_2	0.0	0.0
B_2_17_1	0.0	0.0
B_2_17_2	0.0	0.0
B_2_18_1	0.0	0.0
B_2_18_2	0.10889865589082642	0.0
B_2_19_1	0.0	0.0
B_2_19_2	0.0	0.0
B_2_20_1	0.0	0.0
B_2_20_2	0.0	0.0
B_2_21_1	0.0	0.0
B_2_21_2	0.0	0.0
B_2_22_1	0.0	0.0
B_2_22_2	0.0	0.0
B_2_23_1	0.0	0.0
B_2_23_2	0.0	0.0
B_2_24_1	0.0	0.0
B_2_24_2	0.1266127640374697	0.0
B_2_25_1	0.0	0.0
B_2_25_2	0.0	0.0
B_2_26_1	0.0	0.0
B_2_26_2	0.0	0.0
B_2_27_1	0.0	0.0
B_2_27_2	0.0	0.0
B_2_28_1	0.0	0.0
B_2_28_2	0.0	0.0
B_2_29_1	0.0	0.0
B_2_29_2	0.0	0.0
B_2_30_1	0.0	0.0
B_2_30_2	0.0	0.0
B_2_31_1	0.0	0.0
B_2_31_2	0.0	0.0
B_2_32_1	0.0	0.0
B_2_32_2	0.0	0.0
B_2_33_1	0.0	0.0
B_2_33_2	0.0	0.0
B_2_34_1	0.0	0.0
B_2_34_2	0.0	0.0
B_2_35_1	0.0	0.0
B_2_35_2	0.0	0.0
B_2_36_1	0.0	0.0
B_2_36_2	0.0	0.0
B_2_38_1	0.0	0.0
B_2_38_2	0.0	0.0
B_2_39_1	0.0	0.0
B_2_39_2	0.0	0.0
B_2_3_1	0.0	0.0
B_2_3_2	0.0	0.0
B_2_40_1	0.0	0.0
B_2_40_2	0.0	0.0
B_2_41_1	0.0	0.0
B_2_41_2	0.0	0.0
B_2_42_1	0.0	0.0
B_2_42_2	0.0	0.0
B_2_4_1	0.0	0.0
B_2_4_2	0.0	0.0
B_2_5_1	0.0	0.0
B_2_5_2	0.0	0.0
B_2_6_1	0.0	0.0
B_2_6_2	0.0	0.0
B_2_8_1	0.0	0.0
B_2_8_2	0.0	0.0
B_2_9_1	0.0	0.0
B_2_9_2	0.0	0.0
B_3_10_1	0.0	0.0
B_3_10_2	0.0	0.0
B_3_11_1	0.0	0.0
B_3_11_2	0.0	0.0
B_3_12_1	0.0	0.0
B_3_12_2	0.0	0.0
B_3_13_1	0.0	0.0
B_3_13_2	0.0	0.0
B_3_14_1	0.0	0.0
B_3_14_2	0.0	0.0
B_3_15_1	0.6556461550205606	0.6112621573678072
B_3_15_2	0.23195039422129218	0.24838972477312302
B_3_16_1	0.0	0.0
B_3_16_2	0.0	0.0
B_3_17_1	0.0	0.0
B_3_17_2	0.0	0.0
B_3_18_1	0.0	0.0
B_3_18_2	0.1264105157455516	0.0
B_3_19_1	0.0	0.0
B_3_19_2	0.0	0.0
B_3_20_1	0.0	0.0
B_3_20_2	0.0	0.0
B_3_21_1	0.0	0.0
B_3_21_2	0.0	0.0
B_3_22_1	0.0	0.0
B_3_22_2	0.0	0.0
B_3_23_1	0.0	0.0
B_3_23_2	0.0	0.0
B_3_24_1	0.0	0.0
B_3_24_2	0.16896889726571118	0.0
B_3_25_1	0.0	0.0
B_3_25_2	0.0	0.0
B_3_26_1	0.0	0.0
B_3_26_2	0.0	0.0
B_3_27_1	0.0	0.0
B_3_27_2	0.0	0.0
B_3_28_1	0.0	0.0
B_3_28_2	0.0	0.0
B_3_29_1	0.0	0.0
B_3_29_2	0.0	0.0
B_3_30_1	0.0	0.0
B_3_30_2	0.15892041949494518	0.0
B_3_31_1	0.0	0.0
B_3_31_2	0.0	0.0
B_3_32_1	0.0	0.0
B_3_32_2	0.1338799999797487	0.0
B_3_33_1	0.0	0.0
B_3_33_2	0.0	0.0
B_3_34_1	0.0	0.0
B_3_34_2	0.0	0.0
B_3_35_1	0.0	0.0
B_3_35_2	0.0	0.0
B_3_36_1	0.0	0.0
B_3_36_2	0.1032411997730295	0.0
B_3_38_1	0.0	0.0
B_3_38_2	0.0	0.0
B_3_39_1	0.0	0.0
B_3_39_2	0.0	0.0
B_3_3_1	0.0	0.0
B_3_3_2	0.0	0.0
B_3_40_1	0.0	0.0
B_3_40_2	0.0	0.0
B_3_41_1	0.0	0.0
B_3_41_2	0.0	0.0
B_3_42_1	0.0	0.0
B_3_42_2	0.0	0.0
B_3_4_1	0.0	0.0
B_3_4_2	0.0	0.0
B_3_5_1	0.0	0.0
B_3_5_2	0.0	0.0
B_3_6_1	0.0	0.0
B_3_6_2	0.0	0.0
B_3_8_1	0.0	0.0
B_3_8_2	0.0	0.0
B_3_9_1	0.0	0.0
B_3_9_2	0.0	0.0
re_B_1_34_1	0.0	0.0
re_B_1_34_2	0.0	0.0
