Sample	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
BR_1_13_1	43542.0	53901.0	53558.0	54683.0	54964.0	54144.0	52391.0	52699.0	53286.0	56155.0	54453.0	53449.0	58153.0	56363.0	55156.0	55978.0	59618.0	59181.0	65512.0	71273.0	156567.0	177854.0	2717541.0	24193797.0
BR_1_13_2	30077.0	37416.0	37696.0	37168.0	38230.0	37504.0	39268.0	40030.0	40631.0	41483.0	42124.0	43650.0	43814.0	47476.0	46855.0	49077.0	51899.0	53423.0	59406.0	66544.0	149351.0	182791.0	3914706.0	23233599.0
BR_1_19_1	82775.0	101579.0	104975.0	101153.0	98991.0	100110.0	98121.0	96859.0	94373.0	97287.0	95175.0	100455.0	97413.0	100974.0	100545.0	96567.0	101063.0	100164.0	100587.0	106049.0	187822.0	218097.0	3262192.0	27912803.0
BR_1_19_2	78901.0	98197.0	94085.0	85925.0	84143.0	81773.0	81976.0	85640.0	82628.0	80708.0	85393.0	85713.0	83613.0	84061.0	84191.0	91169.0	89332.0	86534.0	96349.0	102395.0	183782.0	217695.0	4641308.0	26770618.0
BR_1_25_1	63882.0	80533.0	81443.0	82793.0	84008.0	83319.0	81926.0	83561.0	84851.0	87118.0	84005.0	83278.0	88284.0	86812.0	84153.0	85790.0	89366.0	88829.0	97053.0	102100.0	183258.0	205893.0	3266402.0	28661258.0
BR_1_25_2	44793.0	56503.0	57068.0	56155.0	58192.0	57196.0	59106.0	61103.0	61632.0	62995.0	64427.0	66114.0	68421.0	73502.0	71526.0	74633.0	78272.0	78637.0	86427.0	92815.0	170201.0	211706.0	4571762.0	27736729.0
BR_1_31_1	51561.0	64052.0	64422.0	67374.0	66098.0	65757.0	63839.0	63093.0	64556.0	67658.0	66041.0	65002.0	70117.0	69785.0	67099.0	69108.0	72295.0	71501.0	79069.0	83119.0	147554.0	166701.0	2867010.0	25561384.0
BR_1_31_2	43528.0	53828.0	54439.0	53326.0	55079.0	54414.0	55134.0	57096.0	57162.0	58332.0	58469.0	61201.0	62650.0	68924.0	66912.0	69329.0	73311.0	74500.0	83143.0	88654.0	149124.0	188950.0	4799351.0	23707339.0
BR_1_35_1	50937.0	63103.0	63602.0	64248.0	64491.0	63856.0	62006.0	61458.0	62502.0	65092.0	63571.0	62577.0	68284.0	67587.0	65045.0	66311.0	69543.0	69178.0	74740.0	79331.0	139714.0	158302.0	2962535.0	26489772.0
