Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned	fragment_length
B_2_28_1	31511652.0	27537051.0	3974601.0	87.38688469903133	218.437
B_2_29_1	34982066.0	30970685.0	4011381.0	88.53303575609284	248.257
B_2_30_1	38481878.0	33842227.0	4639651.0	87.9432833293635	232.146
B_2_31_1	31988361.0	26930648.0	5057713.0	84.18889608004612	251.039
B_2_32_1	28722646.0	23938472.0	4784174.0	83.34354710913472	202.989
B_2_33_1	34275272.0	29872258.0	4403014.0	87.15396335877364	253.143
B_2_34_1	30664525.0	26880792.0	3783733.0	87.66087849069895	230.279
B_2_35_1	31598370.0	27635401.0	3962969.0	87.45831193191295	230.673
B_2_36_1	32410474.0	28398768.0	4011706.0	87.62219275163949	231.802
B_2_38_1	35012822.0	28072673.0	6940149.0	80.17826440839302	242.19
B_2_39_1	33146548.0	28855497.0	4291051.0	87.05430502144597	201.158
B_2_3_1	34891038.0	29635687.0	5255351.0	84.93781984932635	259.441
B_2_40_1	37674152.0	32035231.0	5638921.0	85.03238772302029	200.35
B_2_41_1	28981566.0	24767413.0	4214153.0	85.4591949931208	251.503
B_2_42_1	39063803.0	33677702.0	5386101.0	86.2120413621787	212.337
B_2_4_1	30871701.0	27579107.0	3292594.0	89.33458833382714	248.074
B_2_5_1	41387370.0	36886118.0	4501252.0	89.12409268817999	253.754
B_2_6_1	40252272.0	35859052.0	4393220.0	89.08578377886346	253.183
B_2_8_1	37101013.0	32832912.0	4268101.0	88.49599874806653	255.249
B_2_9_1	36812535.0	32735234.0	4077301.0	88.92415042865154	260.682
B_3_10_1	33701704.0	30346482.0	3355222.0	90.04435502727102	223.834
B_3_11_1	56232686.0	50188809.0	6043877.0	89.25202150222738	258.659
B_3_12_1	39108154.0	34699477.0	4408677.0	88.72696215730357	226.275
B_3_13_1	43228163.0	37739286.0	5488877.0	87.30254394571429	236.199
B_3_14_1	41656055.0	37270851.0	4385204.0	89.47282934017635	246.409
B_3_15_1	45561466.0	40341313.0	5220153.0	88.5426140589945	265.257
B_3_16_1	40763224.0	36600151.0	4163073.0	89.78718415403061	236.54
B_3_17_1	40220365.0	36298852.0	3921513.0	90.24993184422866	232.945
B_3_18_1	45334836.0	40653307.0	4681529.0	89.67344008920645	242.244
B_3_19_1	39721886.0	34525494.0	5196392.0	86.91806325611024	216.515
B_3_20_1	45892913.0	40550714.0	5342199.0	88.35942490728361	227.821
B_3_21_1	43153408.0	38304137.0	4849271.0	88.76271602928789	221.013
B_3_22_1	41141673.0	37086106.0	4055567.0	90.14243538419062	253.944
B_3_23_1	42800861.0	37984791.0	4816070.0	88.74772635999075	254.109
B_3_24_1	37022790.0	33043493.0	3979297.0	89.25176357589474	259.752
B_3_25_1	37754701.0	32261425.0	5493276.0	85.45008739441481	235.175
B_3_26_1	37412960.0	33037903.0	4375057.0	88.30603886995308	243.537
B_3_27_1	41786363.0	37145109.0	4641254.0	88.89289790547218	226.991
B_3_28_1	38516735.0	34205526.0	4311209.0	88.80691990118062	250.312
B_3_29_1	41742419.0	37020322.0	4722097.0	88.68753389687359	209.454
B_3_30_1	38280795.0	33838590.0	4442205.0	88.39573472807972	246.155
B_3_31_1	41959113.0	35534751.0	6424362.0	84.68899473637586	242.452
B_3_32_1	47404392.0	37085021.0	10319371.0	78.23119216464163	275.929
B_3_33_1	34899180.0	30346639.0	4552541.0	86.95516341644704	230.535
B_3_34_1	38581521.0	34092992.0	4488529.0	88.36611703307395	224.1
B_3_35_1	36076974.0	32027304.0	4049670.0	88.7749177633357	247.783
B_3_36_1	37846325.0	32972294.0	4874031.0	87.12152104596682	211.338
B_3_38_1	32056712.0	26288081.0	5768631.0	82.00491990569712	201.465
B_3_39_1	41602071.0	36142013.0	5460058.0	86.87551396179292	245.545
B_3_3_1	30947185.0	27330831.0	3616354.0	88.31443312210787	214.467
B_3_40_1	41541943.0	35962861.0	5579082.0	86.57000227456862	224.672
B_3_41_1	41215982.0	35947046.0	5268936.0	87.21627935493566	244.743
B_3_42_1	49236189.0	43084759.0	6151430.0	87.5062832340659	243.01
B_3_4_1	35341792.0	31350032.0	3991760.0	88.70526995348736	210.221
B_3_5_1	34212447.0	30324824.0	3887623.0	88.63681688714053	212.73
B_3_6_1	41423720.0	36684200.0	4739520.0	88.55843946415243	216.577
B_3_8_1	38701655.0	34337036.0	4364619.0	88.72239701377111	239.29
B_3_9_1	35191668.0	31349812.0	3841856.0	89.08305227248677	258.479
re_B_1_34_1	25192126.0	21174460.0	4017666.0	84.05189780330569	248.343
